,Benchmark,Dynamic,Active,Forecast Regime
2007-01-01,0.0006040907810223092,0.0006371884613955783,3.309768037326939e-05,Slowdown
2007-02-01,-0.0015021124237002488,-0.00818359072999572,-0.006681478306295471,Slowdown
2007-03-01,0.002490199526426372,0.01067572710667665,0.008185527580250276,Expansion
2007-04-01,-0.0020100857155099404,-9.71187699439764e-05,0.0019129669455659644,Slowdown
2007-05-01,0.0006689186699289887,-0.007540631612121508,-0.008209550282050497,Slowdown
2007-06-01,0.002192709124286,0.0007038104397438761,-0.0014888986845421244,Slowdown
2007-07-01,-0.010727614663516898,0.001992694134419274,0.012720308797936173,Slowdown
2007-08-01,-0.008233444452476818,-0.004677611217772892,0.0035558332347039277,Slowdown
2007-09-01,-0.010637020447798202,-0.006325763059487855,0.004311257388310347,Contraction
2007-10-01,0.001640574222159086,0.0002732711795272731,-0.0013673030426318141,Contraction
2007-11-01,-0.0030826836121351196,0.0027399570451317116,0.005822640657266832,Slowdown
2007-12-01,0.008635819344287707,0.012637354452595943,0.004001535108308236,Contraction
2008-01-01,0.0041386060712213695,0.00982373841274612,0.005685132341524753,Contraction
2008-02-01,0.0064665690438097095,0.01252139838223557,0.0060548293384258605,Contraction
2008-03-01,0.010956528231339671,0.01160310796297764,0.0006465797316379703,Contraction
2008-04-01,-0.005250367804415749,0.015745247670782656,0.020995615475198404,Contraction
2008-05-01,0.012205982719628208,0.011560542386177906,-0.0006454403334503027,Contraction
2008-06-01,0.027869132430884534,0.0003088969234598289,-0.027560235507424702,Recovery
2008-07-01,0.008438970041834385,-0.020011729806994,-0.028450699848828382,Contraction
2008-08-01,0.010297281533069908,0.008990186614435758,-0.0013070949186341479,Contraction
2008-09-01,0.020651119009484294,0.02242450752734332,0.001773388517859029,Contraction
2008-10-01,0.010703583657552359,0.03209994043134219,0.02139635677378983,Contraction
2008-11-01,0.008409139761258054,0.05013002974730071,0.04172088998604265,Contraction
2008-12-01,-0.002063508189708272,-0.0074150725992205395,-0.0053515644095122675,Contraction
2009-01-01,-0.027327848924317624,-0.0027255774263412517,0.02460227149797637,Contraction
2009-02-01,-0.0054391547124977915,-0.009691356254044825,-0.0042522015415470335,Recovery
2009-03-01,-0.020438365845510176,-0.00707342447160093,0.013364941373909247,Recovery
2009-04-01,-0.015930887462650097,0.03914912030058073,0.055080007763230826,Recovery
2009-05-01,-0.027311252262387186,-0.018679419526385393,0.008631832736001795,Recovery
2009-06-01,0.003601330730792456,0.006879600490402625,0.003278269759610169,Recovery
2009-07-01,0.011773981965987331,0.028476874239714324,0.016702892273726996,Recovery
2009-08-01,-0.0009156387580803692,0.020484200119284156,0.021399838877364526,Recovery
2009-09-01,0.005821178587655699,0.01816046667194561,0.012339288084289912,Recovery
2009-10-01,-0.006586431691580336,-0.040306641823139124,-0.03372021013155879,Recovery
2009-11-01,-0.0041476847473863165,-0.015151320075313897,-0.01100363532792758,Recovery
2009-12-01,0.019970284436136444,0.030680556462253677,0.010710272026117233,Recovery
2010-01-01,-0.007175551016049223,0.004175273523143545,0.01135082453919277,Recovery
2010-02-01,0.015344660354442825,0.017723945305047097,0.0023792849506042687,Recovery
2010-03-01,0.014310150425145676,0.018851029475210255,0.00454087905006458,Recovery
2010-04-01,0.025661635017344794,0.03743927676428304,0.011777641746938244,Recovery
2010-05-01,-0.0008391650010295324,-0.006177876647400264,-0.0053387116463707324,Recovery
2010-06-01,-0.019992711923516107,-0.0052484330811378805,0.014744278842378227,Contraction
2010-07-01,0.0064183807192104,0.004093180429327275,-0.002325200289883124,Contraction
2010-08-01,-0.011602137466095603,0.005110160715343573,0.016712298181439177,Contraction
2010-09-01,0.006099083186828202,0.0005556614258330332,-0.005543421760995168,Contraction
2010-10-01,0.002510916192438416,0.00032039734901395884,-0.002190518843424457,Recovery
2010-11-01,0.01517522351355282,0.026105453808067027,0.010930230294514209,Recovery
2010-12-01,0.0013953206131761624,0.019814801372773614,0.018419480759597453,Recovery
2011-01-01,-0.00488226303841111,-0.008341089749681709,-0.0034588267112705996,Recovery
2011-02-01,0.004920906414384779,0.012514784702906023,0.007593878288521244,Recovery
2011-03-01,0.012160133105404706,0.01273123051520246,0.0005710974097977533,Recovery
2011-04-01,-0.003707593101118597,-0.006871434959483995,-0.0031638418583653976,Recovery
2011-05-01,-0.0031436130776014426,-0.010577512938520932,-0.007433899860919491,Recovery
2011-06-01,0.0052539903402710674,-0.0064021063777663575,-0.011656096718037424,Recovery
2011-07-01,-0.0001938991450534857,-0.013991447763218683,-0.013797548618165196,Recovery
2011-08-01,-0.0025979679839162042,-0.017760101506393473,-0.015162133522477271,Recovery
2011-09-01,-0.007838488540751757,0.015491392259901825,0.023329880800653582,Contraction
2011-10-01,-0.0017684426766783065,-0.021841742523123552,-0.020073299846445247,Contraction
2011-11-01,0.011820030607696763,0.021027125553590792,0.009207094945894032,Contraction
2011-12-01,0.012173183716244335,0.011338597214929526,-0.0008345865013148074,Contraction
2012-01-01,-0.01563838834663729,0.0033343813613969276,0.01897276970803422,Recovery
2012-02-01,-0.004772597434713156,-0.009308969397392928,-0.004536371962679772,Recovery
2012-03-01,0.00218502661847672,0.0008018091236380716,-0.0013832174948386487,Recovery
2012-04-01,0.007315406494142255,0.0005932574533083223,-0.006722149040833932,Recovery
2012-05-01,0.017106122435174186,0.011142450516255824,-0.005963671918918363,Recovery
2012-06-01,-0.00036735339670107147,-0.01064608885662544,-0.010278735459924368,Contraction
2012-07-01,-7.567473740121211e-05,0.012674548522484341,0.012750223259885552,Contraction
